Townhouse Complex,,381,789
Townhouse Complex,,540,678
Pauline Jewett House,,679,619
Barbara Rate House,,795,621
Shadbolt House,,911,623
Hamilton Hall Residence,,704,681
Louis Riel Residence,,937,689
Residences,,829,581
Field #4,,707,778
Beedie Softball Field,,926,862
Mc Taggart Cowan Residence,,970,754
Dining Hall,,1018,627
Field #2,,1071,853
Childcare Centre,,967,488
Tennis Court,,1100,526
Madge Hogarth residence,,1167,514
Visitor Parking,,1127,576
Parkade,,1185,578
Shell House Residence,,1120,665
Tennis Court,,1278,905
Terry Fox Field,,1357,749
Lorne Davies Complex,,1312,614
West Gym,,1207,644
Central Gym,,1292,647
East Gym,,1372,647
Pool,,1412,636
West Mall Centre,,1360,534
VN Lot,,1352,443
Campus Security,,1529,618
W.A.C. Bennet Library,,1684,522
Convocation Mall,,1688,581
Maggie Benston Centre,,1672,662
SFU Theatre,,1773,639
Halpern Centre,,1807,506
Diamond Alumni Centre,,1869,262
Robert C. Brown Hall,,1883,358
Education Building,,2029,418
Academic Quadrangle,,1991,597
C Building,,1855,712
B Building,,1963,764
Shrum Science Centre,,2048,732
P Building,,2049,781
Technology & Science Complex 2,,2051,872
South Science Building,,1875,874
K Building,,2160,810
Technology & Science Complex,,2276,864
IRMACS,,2265,800
Applied Sciences Building,,2267,740
Strand Hall Annex,,2239,627
Strand Hall,,2172,534
Saywell Hall,,2179,444
Biusoon Hall,,2344,440
Lot C,,2181,292
Lot C,,2357,267
Lot C,,2354,342
VC Lot,,2206,342
Lot E,,2302,532
Bus Loop,,2403,544
Rideshare Parking,,2493,867
Lot B,,2718,861
Lot B,,2702,765
South East Classroom Block,,2462,789
Town Square,,2403,680
The Cornerstore,,2529,619
The Hub,,2696,615
VB Lot,,2695,703
Lot B ,,2726,510
UniverCity Childcare Facility,,2769,389
Lot H,,2837,252
Water Tower Building,,2872,303
Richard Bolton Park,,3007,303
University Highlands Elementary School,,3932,500
Lot G,,2924,826
Lot I,,2949,922
Lot D,,2644,968
Facilities Services,,2448,987
Lot P3,,2647,1051
Lot P4,,2618,1144
Discovery 2,,2576,1190
Discovery 1,,2631,1308
Lot P1 & P2,,2636,1358
Lot F,,1980,997
Greenhouses,,2099,994
Science Research Annex,,2205,1035
Bee Research Building,,2151,1054
Alcan Aquatic Research,,1978,1098
Office for Aboriginal Peoples,3000,1978,519
Academic Advising,3000,1676,657
Alumni Assoc./Relations,2000,2182,537
Applied Sciences,8000,2068,863
Archaeology,9000,2024,401
Archaeology Museum,9000,2102,467
Archives & Records Mgmt.,0,1674,669
Art Gallery,3000,1950,675
Arts & Social Sciences,6000,2054,609
Asia-Canada Program,5000,2058,609
Athletics,100,1322,641
Audio/Visual Services - IT,9000,2025,700
Beedie School of Business,3000,1373,577
Biological Sciences,8000,1973,839
Biomedical Physiology & Kinesiology,9000,2147,809
Board of Governors,3000,2167,543
Bur. des affairs francophones et francophiles,,2615,624
Campus Information/Security,0,1783,686
Cdn. Inst. for Health Research (CIHR),2000,2327,480
Ctr. For Canadian Studies,6000,1941,672
Career Services,0,1689,752
Central Stores/Receiving,100,2429,1006
Ceremonies & Events Office,2000,2129,530
Chemistry,8000,1865,764
CJSF 90.1 FM Radio,200,1553,610
Clinical Psychology Ctr,9000,2169,398
Cognitive Science Program,8000,1869,420
School of Communication,9000,2245,766
School of Computing Science,9000,2287,764
Contemporary Arts,,2229,626
Continuing Studies,1000,1347,550
Co-operative Education,1000,1675,706
Co-operative Resource Mgmt. Inst.,8000,2363,858
Ctr. For Coastal Studies,2000,1391,566
Counselling Services,0,1729,692
Inst. for Studies in Criminal Justice Policy,10000,2172,430
Criminology,10000,2229,404
Ctr. for Students with Disabilities,1000,1699,748
Distance Education,1000,1395,590
Earth Sciences,7000,2279,864
Economics,3000,1309,588
Faculty of Education,8000,2047,474
School of Engineering Science,9000,2297,710
English,6000,1901,578
Faculty of Environment,8000,2381,860
Environmental Health & Safety,200,2577,1184
Ctr. For Excellence: Immigration,4000,1271,568
Ctr.for Experimental & Constructive Maths,8000,2237,628
Facilities Services,100,2447,968
Faculty Association,2000,1863,584
Fem. Inst. for Studies on Law and Society,2000,1441,580
Finance & Ancillary Services,3000,2143,532
Financial Assistance,3000,1761,666
Financial Services,3000,2165,548
First Nations Student Services,1000,1729,660
First Nations Studies,9000,2159,448
Fraser International College,100,2571,1190
French,2000,1362,560
Geography,7000,1940,466
Ctr. For Global Political Economy,6000,1908,502
Inst. For Governance Studies,6000,1854,640
Government Relations,2000,2110,532
Graduate Studies,3000,1850,702
Faculty of Health Sciences,10000,2380,466
Hellenic Studies,6000,1984,674
History,6000,2020,670
Human Resources,2000,2188,526
Human Rights Office,3000,1902,666
Humanities,5000,1926,676
Images Theatre,8000,2074,404
Inst. Research & Planning,2000,2172,558
Interfaith/Chaplaincy Ctr.,3000,2062,574
IRMACS Ctr.,10000,2240,760
IT: Assignment Lab East Concourse,3000,2054,580
IT: Information Commons,3000,1860,566
IT: Microcomputer Store,2000,1972,464
IT: North Concourse Facility,2000,1972,464
IT: West Mall Facility,2000,1546,588
Kinesiology,9000,2158,802
Ctr. For Labour Studies,6000,1916,670
Language Leaning Ctr.,7000,1908,428
Language Training Inst.,8000,1880,426
Lecture Theatres,3000,1944,666
Let's Talk Science Partnership Program,0,1698,622
Library,3000,1736,546
