SFU Book Store,2420,300,675
Registrar and Information Services Office,2500,430,670
Advising centre and health counselling,2560,591,570
Enrolment Marketing and Communications Office,2580,674,703
Document Solutions,2590,750,700
Westminster Savings Lecture Theatre,2600,910,644
Surrey Fire Fighters Drop in Computer Lab,2300,455,1000
Classroom,2990,740,550
Classroom,2995,673,548
Classroom,2710,611,542
Classroom,2740,637,479
Classroom,2985,736,486
Classroom,2980,821,497
Physics Studio Lab,2975,889,480
Work Integrated Learning Office,2538,485,607
Teaching and Learning centre,2705,488,548
,2735,413,561
SFU Surrey campus Admin Office,2715,486,502
Interactive and Technology Offices,2745,437,424
Gerontology Canadian Longitudinal Study on Aging,2785,415,261
Chemistry Lab,2780,586,289
Faculty of Science,2905,678,214
Pain Studies Lab,2775,442,360
,2760,548,363
,2746,491,400
Classroom,2750,612,384
Biological Lab,2960,729,354
Biomedical Physiology and Kinesiology Lab,2970,884,351
,2700,550,441
Study,521,253,602
Meeting Room,5200,332,586
,5225,476,556
Classroom,5240,641,426
,5262,734,434
,5260,779,551
Lecture Theatre,5280,860,436
Students Study/Lounge,5300,1082,424
Faculty Bookable Offices,5302,1010,486
Faculty Bookable Offices,5304,1049,493
Faculty Bookable Offices,5306,1096,500
Lounge,532,1086,538
Seminar Room,5320,1213,464
Venture Connection,5330,1184,573
Venture Connection,5335,1225,569
Education offices,5350,1295,578
Education offices,5353,1351,583
Classroom,5360,1362,471
Venture Connection,535,1400,580
Policy Room,5380,1519,487
Interfaith and meditation zone,541,1715,509
Study,5399,1692,657
,538,1725,615
Meeting Room,5020,1845,984
Study,5002,1665,800
,5000,1644,841
Seminar Room,5060,1455,996
Classroom,5080,1234,977
Lounge,512,1082,923
Classroom,5100,1085,1016
Classroom,5140,910,984
,5195,602,868
Lounge,519,492,729
,4200,336,480
,4230,439,461
Lounge/study,421,301,641
Research Labs,4210,359,600
Research Labs,4212,402,595
,4242,502,580
Research Labs,4240,514,450
,4245,607,430
,4250,697,425
Research Labs,4260,630,557
MSE Workshop,4272,776,410
Undergrad Lab,4270,820,530
Undergrad Lab,4290,964,557
,4280,980,449
,4300,1111,437
,4302,1110,513
Lounge/study,432,1146,577
,4310,1222,450
,4330,1301,455
,4340,1370,479
,4350,1468,479
Computer Lab,4345,1411,584
Lounge/study,441,1773,119
,4380,1807,634
Study,4397,1739,682
Study,4000,1713,827
CMPT Student Society,4016,1760,995
ENSC Student Society,4014,1765,990
Drop-In Study Room,4020,1700,1048
Meeting/Seminar Room,4040,1543,1033
Instructional Lab,4050,1409,1049
Instructional Lab,4080,1256,1044
Lounge/Study,412,1131,954
Computing Science Offices,4100,1122,1084
Research Labs,4120,971,958
Research Labs,4124,936,1056
Research Labs,4122,1025,1047
Research Labs,4150,813,932
Research Labs,4160,736,1026
Research Labs,4140,825,1040
Research Labs,4180,564,986
Research Labs,4190,630,898
,4170,628,990
Study,419,490,755
SIAT GSA,374,1273,109
"SIAT Humans Visualizations and Interfaces (HIV) Lab""",3760,1314,149
SIAT BioMedia and Tangible Computing Lab,3930,1528,160
SIAT Media Theatre,3950,1611,209
MSE Biomedical Research Lab,3960,1603,251
